"","Units","scenario","region","subresource","year","value","rundate"
"115","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2015,0,2024-03-11 09:44:58
"116","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2020,0,2024-03-11 09:44:58
"117","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2025,0,2024-03-11 09:44:58
"118","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2030,0,2024-03-11 09:44:58
"119","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2035,0,2024-03-11 09:44:58
"120","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2040,0,2024-03-11 09:44:58
"121","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2045,0,2024-03-11 09:44:58
"122","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2050,0,2024-03-11 09:44:58
"123","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2055,0,2024-03-11 09:44:58
"124","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2060,0,2024-03-11 09:44:58
"125","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2065,0,2024-03-11 09:44:58
"126","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2070,0,2024-03-11 09:44:58
"127","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2075,0,2024-03-11 09:44:58
"128","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2080,0,2024-03-11 09:44:58
"129","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2085,0,2024-03-11 09:44:58
"130","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2090,0,2024-03-11 09:44:58
"131","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2095,5.87494,2024-03-11 09:44:58
"132","km^3","PolicyReference","Africa_Eastern","groundwater grade13",2100,19.9049,2024-03-11 09:44:58
"133","km^3","PolicyReference","Africa_Eastern","groundwater grade14",1975,0,2024-03-11 09:44:58
"134","km^3","PolicyReference","Africa_Eastern","groundwater grade14",1990,0,2024-03-11 09:44:58
"135","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2005,0,2024-03-11 09:44:58
"136","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2010,0,2024-03-11 09:44:58
"137","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2015,0,2024-03-11 09:44:58
"138","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2020,0,2024-03-11 09:44:58
"139","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2025,0,2024-03-11 09:44:58
"140","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2030,0,2024-03-11 09:44:58
"141","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2035,0,2024-03-11 09:44:58
"142","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2040,0,2024-03-11 09:44:58
"143","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2045,0,2024-03-11 09:44:58
"144","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2050,0,2024-03-11 09:44:58
"145","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2055,0,2024-03-11 09:44:58
"146","km^3","PolicyReference","Africa_Eastern","groundwater grade14",2060,0,2024-03-11 09:44:58
