"","Units","scenario","region","subresource","year","value","rundate"
"184","km^3","Reference","Africa_Eastern","groundwater grade16",2030,0,2024-02-05 13:29:59
"185","km^3","Reference","Africa_Eastern","groundwater grade16",2035,0,2024-02-05 13:29:59
"186","km^3","Reference","Africa_Eastern","groundwater grade16",2040,0,2024-02-05 13:29:59
"187","km^3","Reference","Africa_Eastern","groundwater grade16",2045,0,2024-02-05 13:29:59
"188","km^3","Reference","Africa_Eastern","groundwater grade16",2050,0,2024-02-05 13:29:59
"189","km^3","Reference","Africa_Eastern","groundwater grade16",2055,0,2024-02-05 13:29:59
"190","km^3","Reference","Africa_Eastern","groundwater grade16",2060,0,2024-02-05 13:29:59
"191","km^3","Reference","Africa_Eastern","groundwater grade16",2065,0,2024-02-05 13:29:59
"192","km^3","Reference","Africa_Eastern","groundwater grade16",2070,0,2024-02-05 13:29:59
"193","km^3","Reference","Africa_Eastern","groundwater grade16",2075,0,2024-02-05 13:29:59
"194","km^3","Reference","Africa_Eastern","groundwater grade16",2080,0,2024-02-05 13:29:59
"195","km^3","Reference","Africa_Eastern","groundwater grade16",2085,0,2024-02-05 13:29:59
"196","km^3","Reference","Africa_Eastern","groundwater grade16",2090,0,2024-02-05 13:29:59
"197","km^3","Reference","Africa_Eastern","groundwater grade16",2095,0,2024-02-05 13:29:59
"198","km^3","Reference","Africa_Eastern","groundwater grade16",2100,0,2024-02-05 13:29:59
"199","km^3","Reference","Africa_Eastern","groundwater grade17",1975,0,2024-02-05 13:29:59
"200","km^3","Reference","Africa_Eastern","groundwater grade17",1990,0,2024-02-05 13:29:59
"201","km^3","Reference","Africa_Eastern","groundwater grade17",2005,0,2024-02-05 13:29:59
"202","km^3","Reference","Africa_Eastern","groundwater grade17",2010,0,2024-02-05 13:29:59
"203","km^3","Reference","Africa_Eastern","groundwater grade17",2015,0,2024-02-05 13:29:59
"204","km^3","Reference","Africa_Eastern","groundwater grade17",2020,0,2024-02-05 13:29:59
"205","km^3","Reference","Africa_Eastern","groundwater grade17",2025,0,2024-02-05 13:29:59
"206","km^3","Reference","Africa_Eastern","groundwater grade17",2030,0,2024-02-05 13:29:59
"207","km^3","Reference","Africa_Eastern","groundwater grade17",2035,0,2024-02-05 13:29:59
"208","km^3","Reference","Africa_Eastern","groundwater grade17",2040,0,2024-02-05 13:29:59
"209","km^3","Reference","Africa_Eastern","groundwater grade17",2045,0,2024-02-05 13:29:59
"210","km^3","Reference","Africa_Eastern","groundwater grade17",2050,0,2024-02-05 13:29:59
"211","km^3","Reference","Africa_Eastern","groundwater grade17",2055,0,2024-02-05 13:29:59
"212","km^3","Reference","Africa_Eastern","groundwater grade17",2060,0,2024-02-05 13:29:59
"213","km^3","Reference","Africa_Eastern","groundwater grade17",2065,0,2024-02-05 13:29:59
"214","km^3","Reference","Africa_Eastern","groundwater grade17",2070,0,2024-02-05 13:29:59
"215","km^3","Reference","Africa_Eastern","groundwater grade17",2075,0,2024-02-05 13:29:59
"216","km^3","Reference","Africa_Eastern","groundwater grade17",2080,0,2024-02-05 13:29:59
"217","km^3","Reference","Africa_Eastern","groundwater grade17",2085,0,2024-02-05 13:29:59
"218","km^3","Reference","Africa_Eastern","groundwater grade17",2090,0,2024-02-05 13:29:59
"219","km^3","Reference","Africa_Eastern","groundwater grade17",2095,0,2024-02-05 13:29:59
"220","km^3","Reference","Africa_Eastern","groundwater grade17",2100,0,2024-02-05 13:29:59
"221","km^3","Reference","Africa_Eastern","groundwater grade18",1975,0,2024-02-05 13:29:59
"222","km^3","Reference","Africa_Eastern","groundwater grade18",1990,0,2024-02-05 13:29:59
"223","km^3","Reference","Africa_Eastern","groundwater grade18",2005,0,2024-02-05 13:29:59
